method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,timeout_failure_count,timeout_failure_rate,mean_nn_forward_time_s,p95_nn_forward_time_s,rl_attempts_total,rl_successes_total,rs_attempts_total,fallback_to_primitives_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
ha_dang_multi_rs,Complex,100,87,0.87,87,0.87,0.3154475688934326,2.500402235984802,0.14421510696411133,0.7544957637786865,220.0,3553.4,,,0.09,0.08688611720508654,0,12,0.12,,,0,0,147807,13349,0.0,0.0,0.0,0.0,
ha_dang_multi_rs,Easy,100,89,0.89,89,0.89,0.199029803276062,2.500957357883453,0.14391803741455078,0.6318478083610535,75.5,3340.5999999999995,,,0.03,0.0930776642702047,0,10,0.1,,,0,0,126478,11408,0.0,0.0,0.0,0.0,
ha_dang_multi_rs,Extreme,100,68,0.68,68,0.68,0.6663874387741089,2.5013630628585815,0.14296269416809082,1.1692432618141175,725.0,4673.799999999999,,,0.06,0.07436977976062886,0,31,0.31,,,0,0,284988,25840,0.0,0.0,0.0,0.0,
ha_rl_rs_ppo,Complex,100,92,0.92,92,0.92,0.2421513795852661,2.5196575284004212,0.14864110946655273,0.613400354385376,1.0,233.79999999999995,,,0.28,0.11753746547735366,0,8,0.08,0.08484773347270674,0.44025105229229666,714,92,13095,622,0.0,0.0,0.0,0.0,
ha_rl_rs_ppo,Easy,100,99,0.99,99,0.99,0.2005782127380371,1.1289101123809813,0.1485600471496582,0.3745902180671692,1.0,97.39999999999998,,,0.18,0.11828169151169332,0,1,0.01,0.04589988038642332,0.20017316152225245,370,99,7135,271,0.0,0.0,0.0,0.0,
ha_rl_rs_ppo,Extreme,100,81,0.81,81,0.81,0.4580332040786743,2.5536550879478455,0.1489856243133545,0.9371243691444398,49.0,465.0,,,0.23,0.08787394654176905,0,18,0.18,0.12968294682097622,0.41627532793208954,1538,81,20062,1457,0.0,0.0,0.0,0.0,
ha_single_rs,Complex,100,85,0.85,85,0.85,0.2678091526031494,2.5001914381980894,0.13854241371154785,0.7473214077949524,248.0,5032.149999999998,,,0.06,0.08274465214027182,0,13,0.13,,,0,0,21750,21663,0.0,0.0,0.0,0.0,
ha_single_rs,Easy,100,91,0.91,91,0.91,0.17821455001831055,2.5000842332839968,0.1375875473022461,0.591057653427124,86.0,4586.849999999999,,,0.02,0.08761171875573248,0,8,0.08,,,0,0,17842,17750,0.0,0.0,0.0,0.0,
ha_single_rs,Extreme,100,67,0.67,67,0.67,0.5806300640106201,2.500452935695648,0.13882756233215332,1.1502481961250306,1038.5,6672.299999999998,,,0.04,0.07410384200192532,0,32,0.32,,,0,0,38231,38164,0.0,0.0,0.0,0.0,
