axis,level_key,level_order,level_label,query_count,planner_attempt_count,success_count,success_rate,timeout_count,timeout_rate,median_time_s,p95_time_s,mean_time_s,median_expansions,p95_expansions,mean_expansions,median_path_length_m,trunk_count,trunk_gap_m,gap_to_vehicle_width,tree_density_per_100m2,obstacle_ratio_mean,distance_min_m,distance_max_m,difficulty_bucket
density,d00,0,"d00:trees=40,gap=1.35m",15,15,13,0.8666666666666667,2,0.13333333333333333,0.17424249649047852,2.5010732889175413,0.5866622924804688,57.0,3735.5999999999995,704.2,16.443857309708363,40,1.35,1.8243243243243246,4.444444444444444,0.00945925925925926,8.0,,Easy
density,d01,1,"d01:trees=55,gap=1.25m",15,15,15,1.0,0,0.0,0.17975616455078125,1.262346172332763,0.3881601015726725,64.0,1699.599999999998,389.53333333333336,18.490058790644635,55,1.25,1.6891891891891893,6.111111111111111,0.011748148148148145,8.0,,Easy
density,d02,2,"d02:trees=70,gap=1.15m",15,15,12,0.8,3,0.2,0.16302156448364258,2.50133216381073,0.6831658363342286,33.0,4137.8,897.6,16.11313958288666,70,1.15,1.554054054054054,7.777777777777774,0.01544814814814815,8.0,,Complex
density,d03,3,"d03:trees=85,gap=1.05m",15,15,10,0.6666666666666666,5,0.3333333333333333,0.39421534538269043,2.501515579223633,1.1636397202809652,427.0,4781.799999999997,1851.2666666666667,13.292858167712204,85,1.05,1.418918918918919,9.444444444444441,0.018903703703703704,8.0,,Extreme
density,d04,4,"d04:trees=100,gap=0.95m",15,15,9,0.6,5,0.3333333333333333,0.7752575874328613,2.500659441947937,1.2369801203409831,1031.0,4209.599999999999,1670.4,12.903433185341916,100,0.95,1.2837837837837838,11.11111111111111,0.022,8.0,,Extreme
density,d05,5,"d05:trees=115,gap=0.90m",15,15,7,0.4666666666666667,8,0.5333333333333333,2.5001485347747803,2.50202476978302,1.5537158171335856,3425.0,4128.1,2334.9333333333334,18.545991343579853,115,0.9,1.2162162162162162,12.777777777777773,0.02594444444444444,8.0,,Extreme
density,d06,6,"d06:trees=130,gap=0.85m",15,15,11,0.7333333333333333,4,0.26666666666666666,0.6241536140441895,2.500654768943787,1.1463865280151366,575.0,4924.399999999999,1650.0666666666666,14.802340814956008,130,0.85,1.1486486486486487,14.444444444444436,0.029507407407407402,8.0,,Extreme
density,d07,7,"d07:trees=145,gap=0.80m",15,15,7,0.4666666666666667,8,0.5333333333333333,2.500019073486328,2.5012939453125,1.6926657994588217,3283.0,5919.4,2940.4666666666667,20.70607181455517,145,0.8,1.0810810810810811,16.11111111111111,0.032222222222222215,8.0,,Extreme
