map_id,query_id,difficulty,map_seed,query_seed,start,goal,teacher_success,teacher_failure_reason,teacher_time_s,teacher_expansions,teacher_path_length_m,label_attempted,label_success,label_failure_reason,label_sample_count,total_segment_count,segment_lengths_m
0,0,low,20270620,20260620,"[6.1000000000000005, 23.8, -0.7746458896063471]","[15.5, 14.600000000000001, -0.7746458896063471]",True,,0.15713119506835938,1,13.152946437965904,True,True,,1,2,[8.0]
0,1,low,20270620,20260621,"[17.6, 25.0, -1.3909428270024184]","[19.6, 14.0, -1.3909428270024184]",True,,0.2906968593597412,220,11.385171222475392,True,False,short_progress,0,0,[]
0,2,low,20270620,20260622,"[27.900000000000002, 2.2, 1.9018924034990288]","[19.1, 27.8, 1.9018924034990288]",False,timeout,2.50093412399292,3021,0.0,False,False,,0,0,[]
0,3,low,20270620,20260623,"[26.900000000000002, 19.900000000000002, -3.0027851875071914]","[13.3, 18.0, -3.0027851875071914]",True,,1.6360290050506592,2029,13.997378791143989,True,True,,3,4,"[5.0, 2.6000000000000005, 3.2]"
0,4,low,20270620,20260624,"[16.7, 11.0, 2.264348363927607]","[2.9000000000000004, 27.6, 2.264348363927607]",False,timeout,2.5003373622894287,3255,0.0,False,False,,0,0,[]
0,5,low,20270620,20260625,"[10.9, 19.3, -1.177738307612964]","[14.3, 11.100000000000001, -1.177738307612964]",True,,0.15137147903442383,1,8.876936408468858,True,True,,1,2,[8.0]
0,6,low,20270620,20260626,"[0.6000000000000001, 20.3, 0.6995172123364637]","[8.8, 27.200000000000003, 0.6995172123364637]",False,timeout,2.500023365020752,2691,0.0,False,False,,0,0,[]
0,7,low,20270620,20260627,"[20.5, 6.2, 2.132419826467394]","[9.3, 24.0, 2.132419826467394]",False,timeout,2.5003957748413086,3740,0.0,False,False,,0,0,[]
0,8,low,20270620,20260628,"[14.100000000000001, 3.3000000000000003, 1.3817757805095603]","[16.3, 14.8, 1.3817757805095603]",True,,0.16583609580993652,22,11.745339731940971,True,True,,1,2,[8.0]
0,9,low,20270620,20260629,"[7.7, 5.5, -0.13021144296439632]","[16.1, 4.4, -0.13021144296439632]",True,,0.14781999588012695,7,8.490695744000453,True,True,,1,2,[5.4]
1,0,low,20270621,20261620,"[27.0, 22.900000000000002, -2.044752848941946]","[17.1, 3.6, -2.044752848941946]",True,,0.1884465217590332,65,22.557612159170095,True,True,,2,3,"[8.0, 8.0]"
1,1,low,20270621,20261621,"[19.5, 1.3, 1.529883497019457]","[20.200000000000003, 18.400000000000002, 1.529883497019457]",True,,0.880129337310791,1359,17.405571435550474,True,True,,3,4,"[3.0, 4.800000000000001, 3.0]"
1,2,low,20270621,20261622,"[21.3, 4.3, 2.036337872925123]","[10.700000000000001, 25.400000000000002, 2.036337872925123]",True,,0.17056775093078613,57,24.09228415706061,True,True,,3,4,"[7.0, 8.0, 8.0]"
