epoch,train_loss,val_loss,val_rmse_dx_m,val_rmse_dy_m,val_rmse_dtheta_rad,val_l2_delta_mean,elapsed_s,learning_rate
1,0.6940244017204082,0.5394807740501962,1.6667557293955568,0.7826221659447781,0.19595398271136666,1.5527227181276197,0.6349011359270662,0.001
2,0.5060585499977164,0.4909796480822774,1.5815167446905636,0.7407020443250072,0.18952552500330774,1.39268387363488,1.0602326069492847,0.001
3,0.470372123973761,0.4636923177709725,1.5253873571104122,0.7162888426875959,0.18640749415119573,1.3779158941557434,1.5345097091048956,0.001
4,0.45051440405799265,0.4494257977705363,1.4987806944327313,0.6997362225549159,0.1852863665949796,1.2836569199001002,2.0024415380321443,0.001
5,0.4370785323393361,0.4398400085927906,1.4646491071037862,0.6930709351639849,0.18499760230911994,1.2877242728569445,2.4275578500237316,0.001
6,0.4270564659073866,0.4309371373350556,1.4394083336265524,0.6878716648161639,0.1837122885591121,1.2368269141262016,2.9201345751062036,0.001
7,0.41910751265312035,0.4367972271461149,1.429581931626795,0.6842672914627438,0.18908209660726522,1.2602250762207388,3.400825646938756,0.001
8,0.4177713167414683,0.42278467610998677,1.4133175110930483,0.6793714065458926,0.18375468835743727,1.2282550735823825,3.88246583705768,0.001
9,0.40774097668507725,0.41881144374066487,1.400952519488238,0.6791422006264861,0.18270156743934932,1.211847054276788,4.369580717990175,0.001
10,0.4026954238812506,0.421708106425441,1.389768466610492,0.6912434096558199,0.18239896274481354,1.2241088769156474,4.879546927986667,0.001
11,0.4001793650712914,0.41285656731863657,1.3848964187924162,0.6739678390277534,0.18209738243643322,1.204030128121615,5.429960079025477,0.001
12,0.39441285957831906,0.4153315279242602,1.3980829020433327,0.6750197261245315,0.1819751572406853,1.1677832874645826,5.952623398043215,0.001
13,0.3917060390184944,0.4143979205345735,1.4021252061120089,0.6718061472993502,0.18183186911527183,1.2306379000007241,6.403742233058438,0.001
14,0.39023607490486384,0.40700084998229835,1.3656702835433665,0.6684871649184077,0.18191700025283739,1.175375322117779,6.875610498012975,0.001
