method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
f_n3p_knn,Complex,100,99,0.99,99,0.99,0.02445552556309849,0.3368196931434786,0.00039034406654536724,0.11676134247565642,0.0,214.99999999999835,2.220446049250313e-16,0.18764589097031903,0.69,0.10245692805145601,0,0.68,0.68,0.19,0.02,0.3793103448275862
f_n3p_knn,Easy,100,100,1.0,100,1.0,0.011215954087674618,0.17934002595720808,0.00039338599890470505,0.05344986157258973,0.0,13.099999999999994,2.220446049250313e-16,0.11079070270760072,0.52,0.14592870609576697,0,0.65,0.65,0.08,0.01,0.4425287356321839
f_n3p_knn,Extreme,100,98,0.98,98,0.98,0.02775522950105369,0.6491298970300693,0.000468116020783782,0.16753394699888305,0.0,747.7999999999988,0.0009486696538667516,0.4685403046853099,0.95,0.09140336116455505,0,0.84,0.84,0.21,0.02,0.3902439024390244
vanilla_ha,Complex,100,83,0.83,83,0.83,0.30349814891815186,2.5003932237625124,0.14298343658447266,0.8450606393814087,221.5,4276.75,,,0.04,0.08832339612530526,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,100,91,0.91,91,0.91,0.1905115842819214,2.500369095802307,0.14540672302246094,0.5554569792747498,72.5,3486.0,,,0.05,0.1170187120741576,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,100,83,0.83,83,0.83,0.3094707727432251,2.5005151987075807,0.14450788497924805,0.8331530523300171,283.0,4257.299999999999,,,0.07,0.08245301456791321,0,0.0,0.0,0.0,0.0,
