query_id,difficulty_bucket,m1_success,m3_success,m1_expansions,m3_expansions,expansions_ratio_m3_over_m1,m1_time_s,m3_time_s,time_ratio_m3_over_m1,m3_failure_reason
complex_s00_q0000,Complex,True,True,1.0,1.0,1.0,0.14861249923706055,0.2758941650390625,1.8564667605715148,
complex_s00_q0001,Complex,True,True,371.0,25.0,0.0673854447439353,0.32600998878479004,0.23730039596557617,0.7278930220822958,
complex_s00_q0002,Complex,True,True,81.0,1.0,0.012345679012345678,0.18442702293395996,0.1909022331237793,1.0351098775375125,
complex_s00_q0003,Complex,False,False,6745.0,241.0,0.035730170496664194,2.5007593631744385,2.5217301845550537,1.0083857814108093,timeout
complex_s00_q0004,Complex,True,True,1519.0,25.0,0.016458196181698487,1.0799190998077393,0.32393360137939453,0.29996098914915503,
complex_s00_q0005,Complex,True,True,64.0,1.0,0.015625,0.18082451820373535,0.23757457733154297,1.3138405106317894,
complex_s00_q0006,Complex,True,True,3673.0,33.0,0.008984481350394773,1.5663275718688965,0.3364603519439697,0.2148084206565521,
complex_s00_q0007,Complex,True,True,401.0,1.0,0.0024937655860349127,0.26279354095458984,0.21429800987243652,0.8154614801185953,
complex_s01_q0008,Complex,False,True,4438.0,1.0,0.0002253267237494367,2.500001907348633,0.24285221099853516,0.09714081028685739,
complex_s01_q0009,Complex,True,True,568.0,1.0,0.0017605633802816902,0.42904019355773926,0.23794054985046387,0.5545880162820744,
complex_s01_q0010,Complex,True,True,387.0,1.0,0.002583979328165375,0.3445706367492676,0.22221589088439941,0.6449066379562064,
complex_s01_q0011,Complex,False,False,5207.0,241.0,0.04628384866525831,2.500236988067627,2.502535343170166,1.0009192549000387,timeout
complex_s01_q0012,Complex,False,True,4598.0,1.0,0.00021748586341887777,2.5002026557922363,0.23083019256591797,0.0923245929809538,
complex_s01_q0013,Complex,False,True,3650.0,73.0,0.02,2.5000245571136475,1.0462150573730469,0.4184819122660672,
complex_s01_q0014,Complex,True,True,9.0,1.0,0.1111111111111111,0.15629982948303223,0.1745588779449463,1.1168206550340238,
complex_s01_q0015,Complex,True,True,185.0,1.0,0.005405405405405406,0.1922457218170166,0.2341775894165039,1.2181159986457275,
complex_s02_q0016,Complex,True,True,1.0,1.0,1.0,0.1514415740966797,0.16016697883605957,1.0576156500711595,
complex_s02_q0017,Complex,False,True,4913.0,1.0,0.0002035416242621616,2.5000147819519043,0.17959356307983398,0.07183700047549921,
complex_s02_q0018,Complex,True,True,89.0,1.0,0.011235955056179775,0.1900498867034912,0.20009684562683105,1.0528648508957794,
complex_s02_q0019,Complex,True,True,277.0,65.0,0.23465703971119134,0.271728515625,0.7900691032409668,2.907567876796945,
complex_s02_q0020,Complex,True,True,67.0,1.0,0.014925373134328358,0.18732285499572754,0.19220495223999023,1.0260624751014715,
complex_s02_q0021,Complex,True,True,907.0,1.0,0.0011025358324145535,0.5833539962768555,0.17501544952392578,0.30001585767977623,
complex_s02_q0022,Complex,True,True,49.0,17.0,0.3469387755102041,0.1650235652923584,0.27730607986450195,1.6804029132034692,
complex_s02_q0023,Complex,False,False,6198.0,217.0,0.035011293965795415,2.5001657009124756,2.5191030502319336,1.0075744376912885,timeout
complex_s03_q0024,Complex,True,True,11.0,1.0,0.09090909090909091,0.16089200973510742,0.16118788719177246,1.0018389816694575,
complex_s03_q0025,Complex,True,True,41.0,1.0,0.024390243902439025,0.169661283493042,0.21672415733337402,1.2773931263007459,
complex_s03_q0026,Complex,True,True,3416.0,1.0,0.0002927400468384075,1.8774783611297607,0.22509384155273438,0.11989157702850198,
complex_s03_q0027,Complex,False,True,4945.0,169.0,0.03417593528816987,2.5005083084106445,1.592501163482666,0.6368709746439036,
complex_s03_q0028,Complex,True,True,1065.0,1.0,0.0009389671361502347,0.6878972053527832,0.20716381072998047,0.301155185859111,
complex_s03_q0029,Complex,True,True,136.0,1.0,0.007352941176470588,0.2180628776550293,0.21761083602905273,0.9979270124707256,
complex_s03_q0030,Complex,True,True,2105.0,9.0,0.004275534441805225,1.1146655082702637,0.21637463569641113,0.19411620265543247,
complex_s03_q0031,Complex,True,True,193.0,73.0,0.37823834196891193,0.23941946029663086,1.000014066696167,4.176828673229782,
complex_s04_q0032,Complex,False,True,4750.0,15.0,0.003157894736842105,2.5005838871002197,0.2681713104248047,0.10724347693681542,
complex_s04_q0033,Complex,True,True,225.0,1.0,0.0044444444444444444,0.26285266876220703,0.23396873474121094,0.8901135980204702,
complex_s04_q0034,Complex,False,True,4191.0,105.0,0.025053686471009307,2.500260353088379,1.1997647285461426,0.47985591863030014,
complex_s04_q0035,Complex,False,False,6943.0,177.0,0.025493302606942245,2.5000534057617188,2.5993778705596924,1.0397289372175278,timeout
complex_s04_q0036,Complex,False,True,3979.0,28.0,0.007036943955767781,2.5004944801330566,0.415863037109375,0.16631231958858236,
complex_s04_q0037,Complex,True,True,9.0,9.0,1.0,0.15805912017822266,0.2542304992675781,1.6084519449489252,
complex_s04_q0038,Complex,True,True,3385.0,1.0,0.0002954209748892171,1.366504192352295,0.18362641334533691,0.13437676545232044,
complex_s04_q0039,Complex,False,True,6527.0,25.0,0.003830243603493182,2.500277519226074,0.532116174697876,0.21282284490666661,
extreme_s00_q0000,Extreme,True,True,6.0,1.0,0.16666666666666666,0.1580665111541748,0.15927791595458984,1.0076638928231512,
extreme_s00_q0001,Extreme,True,True,869.0,49.0,0.05638665132336018,0.6633012294769287,0.706397294998169,1.0649720875012176,
extreme_s00_q0002,Extreme,True,True,297.0,217.0,0.7306397306397306,0.2675917148590088,0.830280065536499,3.102786892987194,
extreme_s00_q0003,Extreme,True,True,155.0,121.0,0.7806451612903226,0.20387506484985352,0.8889577388763428,4.360306345118897,
