query_id,method,bucket,control_time_s,candidate_time_s,delta_candidate_minus_control_s,speedup_ratio_control_over_candidate,control_feasible,candidate_feasible,control_collision_violation_count,candidate_collision_violation_count,control_fallback_triggered,candidate_fallback_triggered,control_total_expansions,candidate_total_expansions,control_path_inflation_ratio,candidate_path_inflation_ratio
complex_s00_q0000,f_n3p_knn,Complex,0.21992833399417577,0.21921287500299513,-0.0007154589911806397,1.0032637635502517,True,True,0,0,True,True,241,241,-0.005745027306103601,-0.005745027306103601
complex_s00_q0000,n3p_k1,Complex,0.21779420800157823,0.21776962500007357,-2.4583001504652202e-05,1.0001128853553596,True,True,0,0,True,True,241,241,-0.005745027306103601,-0.005745027306103601
complex_s00_q0000,vanilla_ha,Complex,0.4088551998138428,0.41280674934387207,0.003951549530029297,0.9904276043540712,True,True,0,0,False,False,729,729,,
complex_s01_q0001,f_n3p_knn,Complex,1.0804338750021998,0.9163595840000198,-0.16407429100217996,1.1790501172978145,True,True,0,0,True,True,1516,1515,0.07137460381196381,0.027672492836626983
complex_s01_q0001,n3p_k1,Complex,0.7768742499974906,0.7513218749954831,-0.025552375002007466,1.0340098909034974,True,True,0,0,True,True,876,876,0.02334726927610764,0.02334726927610764
complex_s01_q0001,vanilla_ha,Complex,1.29144287109375,1.2693421840667725,-0.02210068702697754,1.0174111341326186,True,True,0,0,False,False,2251,2251,,
complex_s02_q0002,f_n3p_knn,Complex,0.33797025000239955,0.01879045899841003,-0.3191797910039895,17.986268990608327,True,True,0,0,True,True,3,0,0.16980696359174696,0.16977462462300896
complex_s02_q0002,n3p_k1,Complex,1.0855178749989136,1.7035013749991776,0.617983500000264,0.6372274721524294,True,True,0,0,True,True,1556,2603,0.003932460426520512,-0.0008871612520874317
complex_s02_q0002,vanilla_ha,Complex,1.2482621669769287,1.2568042278289795,0.008542060852050781,0.9932033480928001,True,True,0,0,False,False,2200,2200,,
complex_s03_q0003,f_n3p_knn,Complex,0.22510474999580765,0.011984208002104424,-0.21312054199370323,18.783448180829247,True,True,0,0,True,True,2,0,0.011196710382157748,0.010946721375144852
complex_s03_q0003,n3p_k1,Complex,0.26239691599766957,0.15861025000049267,-0.1037866659971769,1.6543503083618778,True,True,0,0,True,True,86,85,-0.0006631505210868971,-0.0006962221586984674
complex_s03_q0003,vanilla_ha,Complex,0.5420727729797363,0.5373051166534424,-0.004767656326293945,1.0088732754975216,True,True,0,0,False,False,1481,1481,,
complex_s04_q0004,f_n3p_knn,Complex,0.1119786249983008,0.004103208993910812,-0.10787541600438999,27.290499987809003,True,True,0,0,True,True,1,0,0.043325792621281556,-0.007875968697246605
complex_s04_q0004,n3p_k1,Complex,0.11354166700039059,0.11582479200296802,0.0022831250025774352,0.9802881148060345,True,True,0,0,True,True,7,7,0.0975558730363646,0.0975558730363646
complex_s04_q0004,vanilla_ha,Complex,0.14038515090942383,0.14245080947875977,0.0020656585693359375,0.9854991447441095,True,True,0,0,False,False,92,92,,
easy_s00_q0000,f_n3p_knn,Easy,0.11431262500263983,0.0068055840019951575,-0.10750704100064468,16.79688693418925,True,True,0,0,True,True,1,0,0.04577958669579707,0.04346119840223195
easy_s00_q0000,n3p_k1,Easy,0.6748972909990698,0.6747140840016073,-0.00018320699746254832,1.0002715327896758,True,True,0,0,True,True,997,997,-0.009879559742735466,-0.009879559742735466
easy_s00_q0000,vanilla_ha,Easy,0.12045478820800781,0.12184715270996094,0.001392364501953125,0.9885728597592474,True,True,0,0,False,False,31,31,,
easy_s01_q0001,f_n3p_knn,Easy,0.24178637500153854,0.13807558299595257,-0.10371079200558597,1.7511160898638107,True,True,0,0,True,True,47,46,0.034967663492844636,0.03485804540958015
easy_s01_q0001,n3p_k1,Easy,0.11385466700448887,0.11543879200326046,0.0015841249987715855,0.9862773598780655,True,True,0,0,True,True,5,5,-0.0001086877320808366,-0.0001086877320808366
