method,bucket,count,candidate_faster_count,candidate_slower_count,median_delta_candidate_minus_control_s,mean_delta_candidate_minus_control_s,median_speedup_ratio_control_over_candidate,control_feasible_count,candidate_feasible_count,control_collision_total,candidate_collision_total
f_n3p_knn,Easy,5,5,0,-0.10750704100064468,-0.14861310820124346,16.79688693418925,5,5,0,0
f_n3p_knn,Complex,5,5,0,-0.16407429100217996,-0.16099309979908866,17.986268990608327,5,5,0,0
f_n3p_knn,Extreme,5,5,0,-0.20987708200118504,-0.2102909246008494,18.384423159871407,5,5,0,0
n3p_k1,Easy,5,2,3,0.0015841249987715855,-0.01950239120051265,0.998415353421338,4,4,0,0
n3p_k1,Complex,5,3,2,-2.4583001504652202e-05,0.09818060020043048,1.0001128853553596,5,5,0,0
n3p_k1,Extreme,5,3,2,-0.00041116700595011935,-0.10319106680253753,1.0001663967186467,5,5,0,0
vanilla_ha,Easy,5,1,4,0.0020530223846435547,0.0032624721527099608,0.9885728597592474,4,4,0,0
vanilla_ha,Complex,5,2,3,0.0020656585693359375,-0.002461814880371094,0.9932033480928001,5,5,0,0
vanilla_ha,Extreme,5,3,2,-0.0006003379821777344,-0.0006522655487060547,1.0018195305876756,5,5,0,0
