bucket,query_id,method,total_time_s,total_expansions,success,path_length_m,path_inflation_ratio,direction_switches,mean_abs_curvature,min_clearance_m,fallback_f1,fallback_f2,fallback_f3,profile_name,distance_bin,map_seed,query_seed,failure_reason
Complex,complex_s04_q0008,f_n3p_knn,0.197631713,111,True,9.58081512,-0.00795917272,1,0.101449744,0.0706967818,4,1,0,complex_d04,d08_12,20400620,20401620,
Complex,complex_s04_q0009,vanilla_ha,0.121092319,41,True,15.6205907,0,0,0.183073957,0.0714036031,0,0,0,complex_d02,d12_16,20400620,20401621,
Complex,complex_s04_q0009,f_n3p_knn,0.217678177,11,True,15.6012383,-0.00123889941,0,0.166747422,0.088078242,4,1,0,complex_d02,d12_16,20400620,20401621,
Extreme,extreme_s00_q0000,vanilla_ha,0.105367422,13,True,9.02690493,0,0,0.203940615,0.190945333,0,0,0,extreme_d05,d08_12,20460620,20461620,
Extreme,extreme_s00_q0000,f_n3p_knn,0.208127962,2,True,11.2865035,0.250318196,3,0.432070548,0.174101996,3,0,0,extreme_d05,d08_12,20460620,20461620,
Extreme,extreme_s00_q0001,vanilla_ha,1.48102212,2485,True,16.0725705,0,0,0.0932093094,0.0405884327,0,0,0,extreme_d06,d12_16,20460620,20461621,
Extreme,extreme_s00_q0001,f_n3p_knn,4.20037606,5550,True,16.0725705,0,0,0.0932093094,0.0405884327,18,3,1,extreme_d06,d12_16,20460620,20461621,
Extreme,extreme_s01_q0002,vanilla_ha,2.50006247,5468,False,,,0,,,0,0,0,extreme_d07,d16_20,20470620,20471620,timeout
Extreme,extreme_s01_q0002,f_n3p_knn,4.82312799,8603,False,,,0,,,6,1,1,extreme_d07,d16_20,20470620,20471620,f2_failed:prediction:timeout;goal:timeout;f3_failed:timeout
Extreme,extreme_s01_q0003,vanilla_ha,0.502015352,1051,True,21.7894612,0,0,0.321394701,0.0713989585,0,0,0,extreme_d05,d20_inf,20470620,20471621,
Extreme,extreme_s01_q0003,f_n3p_knn,0.439429121,28,True,23.2425762,0.0666888897,4,0.221747439,0.115170616,10,1,0,extreme_d05,d20_inf,20470620,20471621,
Extreme,extreme_s02_q0004,vanilla_ha,0.11400032,36,True,9.65274924,0,0,0.141520188,0.0927269564,0,0,0,extreme_d06,d08_12,20480620,20481620,
Extreme,extreme_s02_q0004,f_n3p_knn,0.10785935,1,True,9.69743834,0.00462967558,0,0.157515386,0.0995429785,1,0,0,extreme_d06,d08_12,20480620,20481620,
Extreme,extreme_s02_q0005,vanilla_ha,0.182783365,209,True,14.943192,0,0,0.187700806,0.075128917,0,0,0,extreme_d07,d12_16,20480620,20481621,
Extreme,extreme_s02_q0005,f_n3p_knn,0.319424288,3,True,15.1686266,0.0150861053,0,0.154309335,0.106649694,5,0,0,extreme_d07,d12_16,20480620,20481621,
Extreme,extreme_s03_q0006,vanilla_ha,0.187843084,329,True,20.4820072,0,1,0.114928576,0.090203379,0,0,0,extreme_d05,d16_20,20490620,20491620,
Extreme,extreme_s03_q0006,f_n3p_knn,0.342155167,33,True,20.462571,-0.000948939333,1,0.26291432,0.0872495556,5,1,0,extreme_d05,d16_20,20490620,20491620,
Extreme,extreme_s03_q0007,vanilla_ha,2.5000248,5826,False,,,0,,,0,0,0,extreme_d06,d20_inf,20490620,20491621,timeout
Extreme,extreme_s03_q0007,f_n3p_knn,3.32662365,8186,False,,,0,,,8,1,1,extreme_d06,d20_inf,20490620,20491621,f2_failed:prediction:goal_in_collision;goal:node_budget_exhausted;f3_failed:timeout
Extreme,extreme_s04_q0008,vanilla_ha,0.209953308,193,True,11.822116,0,1,0.408336519,0.0682192077,0,0,0,extreme_d07,d08_12,20500620,20501620,
Extreme,extreme_s04_q0008,f_n3p_knn,0.325355662,3,True,15.4366326,0.305741937,1,0.138477058,0.0682192077,0,0,0,extreme_d07,d08_12,20500620,20501620,
Extreme,extreme_s04_q0009,vanilla_ha,2.50110126,3591,False,,,0,,,0,0,0,extreme_d05,d12_16,20500620,20501621,timeout
Extreme,extreme_s04_q0009,f_n3p_knn,0.970887569,679,True,15.4599292,,3,0.286063158,0.066920045,8,1,0,extreme_d05,d12_16,20500620,20501621,
