map_id,profile_name,difficulty_bucket,map_seed,generated,generation_time_s,trunk_count,trunk_gap_m,trunk_gap_jitter,obstacle_ratio,failure_reason
0,easy_d00,Easy,20360620,True,3.675272649154067,40,1.35,0.2,0.010911111111111111,
1,easy_d01,Easy,20360621,True,1.7003097289707512,55,1.25,0.2,0.011911111111111112,
2,easy_d00,Easy,20360622,True,0.849816138856113,40,1.35,0.2,0.008755555555555556,
3,easy_d01,Easy,20360623,True,2.2460477598942816,55,1.25,0.2,0.012066666666666667,
4,easy_d00,Easy,20360624,True,0.6281897199805826,40,1.35,0.2,0.009633333333333334,
5,easy_d01,Easy,20360625,True,0.6831641560420394,55,1.25,0.2,0.012544444444444445,
6,easy_d00,Easy,20360626,True,0.738891877932474,40,1.35,0.2,0.0093,
7,easy_d01,Easy,20360627,True,3.074517233064398,55,1.25,0.2,0.012844444444444445,
8,easy_d00,Easy,20360628,True,1.6420101230032742,40,1.35,0.2,0.009744444444444444,
9,easy_d01,Easy,20360629,True,3.3365591228939593,55,1.25,0.2,0.014033333333333333,
10,easy_d00,Easy,20360630,True,2.053811033954844,40,1.35,0.2,0.008444444444444444,
11,easy_d01,Easy,20360631,True,1.2591126929037273,55,1.25,0.2,0.0137,
12,easy_d00,Easy,20360632,True,1.1139955730177462,40,1.35,0.2,0.009411111111111111,
13,easy_d01,Easy,20360633,True,3.978719806065783,55,1.25,0.2,0.012744444444444444,
14,easy_d00,Easy,20360634,True,0.7174732701387256,40,1.35,0.2,0.0077666666666666665,
15,easy_d01,Easy,20360635,True,2.1789823139552027,55,1.25,0.2,0.010944444444444444,
16,easy_d00,Easy,20360636,True,0.8149141429457814,40,1.35,0.2,0.009222222222222222,
17,easy_d01,Easy,20360637,True,1.6311148658860475,55,1.25,0.2,0.013022222222222221,
18,easy_d00,Easy,20360638,True,3.244234454119578,40,1.35,0.2,0.008166666666666666,
19,easy_d01,Easy,20360639,True,1.3483906830660999,55,1.25,0.2,0.0132,
20,easy_d00,Easy,20360640,True,1.3893401820678264,40,1.35,0.2,0.009033333333333334,
21,easy_d01,Easy,20360641,True,1.4154133070260286,55,1.25,0.2,0.012311111111111111,
22,easy_d00,Easy,20360642,True,2.7527512221131474,40,1.35,0.2,0.00981111111111111,
23,easy_d01,Easy,20360643,True,7.531937931198627,55,1.25,0.2,0.011566666666666666,
24,easy_d00,Easy,20360644,True,3.996344510000199,40,1.35,0.2,0.009133333333333334,
25,easy_d01,Easy,20360645,True,2.851245525991544,55,1.25,0.2,0.01338888888888889,
26,easy_d00,Easy,20360646,True,1.610319257946685,40,1.35,0.2,0.00841111111111111,
27,easy_d01,Easy,20360647,True,2.153079890878871,55,1.25,0.2,0.0134,
28,easy_d00,Easy,20360648,True,0.6716551978606731,40,1.35,0.2,0.008533333333333334,
29,easy_d01,Easy,20360649,True,2.865301883080974,55,1.25,0.2,0.011722222222222222,
30,easy_d00,Easy,20360650,True,2.1060711829923093,40,1.35,0.2,0.009677777777777778,
