method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
f_n3p_knn,OOD-Dense,5,5,1.0,5,1.0,0.013236750004580244,0.36796750780340515,0.004899916995782405,0.15121651660156205,0.0,369.59999999999997,0.07444583645783243,0.25095009026094156,4.0,0.07252139917191713,0,1.0,1.0,0.4,0.0,0.17647058823529413
f_n3p_knn,OOD-Sparse,5,5,1.0,5,1.0,0.00032375000591855496,0.0957849000013084,0.0002642920007929206,0.026088083401555197,0.0,7.199999999999998,2.220446049250313e-16,0.02930008182475853,0.4,1.176714218268495,0,0.4,0.4,0.2,0.0,0.3333333333333333
f_n3p_knn,RealMap,6,2,0.3333333333333333,2,0.3333333333333333,3.2770476045006944,4.253688791748573,0.002018291997956112,2.448544402999687,6798.5,10961.25,0.4242194624976472,0.8060169787455296,0.16666666666666666,0.06812611925274595,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0
vanilla_ha,OOD-Dense,5,4,0.8,4,0.8,0.15983009338378906,2.0685492038726805,0.11972999572753906,0.6508179187774659,111.0,5613.999999999999,,,0.0,0.09093018511499823,0,0.0,0.0,0.0,0.0,
vanilla_ha,OOD-Sparse,5,5,1.0,5,1.0,0.10881781578063965,0.13593435287475586,0.10742402076721191,0.1154571533203125,1.0,66.6,,,0.0,1.1767142182684944,0,0.0,0.0,0.0,0.0,
vanilla_ha,RealMap,6,2,0.3333333333333333,2,0.3333333333333333,2.500119924545288,2.5006296634674072,0.12478208541870117,1.8713311354319255,4722.0,8380.75,,,0.16666666666666666,0.07594874019281106,0,0.0,0.0,0.0,0.0,
