run_id,path,source_head,k_neighbors,commit_verified_rs_segments,record_count,query_count,method_count,status,formal_acceptance,collision_violation_total,method_exception_total,wall_time_s,preflight_warnings,preflight_unavailable_methods,note
k5_rs_verified_fullscale,.pipeline/experiments/20260620_t14_candidate_6method_fullscale_rs_segments,98faaba69dfe79fe6c8f9d41f3fb59cf249f3987,5,True,1800,300,6,candidate_or_smoke,False,0,0,1136.58,"[""T06 cutpoint supplement is not reviewed:true: .pipeline/contracts/v9-forest-n3p-t06-calibration-supplement.md""]",{},RS-verified segment candidate with default k=5; Extreme speed gate failed.
k20_rs_verified_pre_guard,.pipeline/experiments/20260620_t14_candidate_6method_fullscale_rs_k20,d53fac3b6c79ad6bd7a16ec521f7f6b97197dd89,20,True,1800,300,6,candidate_or_smoke,False,1,0,1065.62,"[""T06 cutpoint supplement is not reviewed:true: .pipeline/contracts/v9-forest-n3p-t06-calibration-supplement.md""]",{},k=20 fullscale candidate before collision rejection; bucket gates passed but one n3p_k1 record had collision_violation_count=1.
k20_rs_verified_collisionguard,.pipeline/experiments/20260620_t14_candidate_6method_fullscale_rs_k20_collisionguard,211e373e9be7f605a72ecbf5b0cae146d9cf06d4,20,True,1800,300,6,candidate_or_smoke,False,0,0,1081.62,"[""T06 cutpoint supplement is not reviewed:true: .pipeline/contracts/v9-forest-n3p-t06-calibration-supplement.md""]",{},k=20 fullscale candidate after evaluation-level collision rejection safety gate.
