arxiv_id,citation_key,title,authors_short,year,direction_tag,status,source,reason,size_bytes,lines,sections,formulas,pdf_path,md_path
2504.03001,Cherenson2025Autonomy,Autonomy Architectures for Safe Planning in Unknown Environments Under Budget Constraints,Daniel M. Cherenson et al.,2025,G_subgoal_optimization,success,pymupdf4llm,,45657,491,9,0,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Cherenson2025Autonomy.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Cherenson2025Autonomy.md
2504.04598,Leebron2025B4P,B4P: Simultaneous Grasp and Motion Planning for Object Placement via Parallelized Bidirectional Forests and Path Repair,Benjamin H. Leebron et al.,2025,J_homotopy_topology,success,pymupdf4llm,,40517,379,17,0,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Leebron2025B4P.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Leebron2025B4P.md
2504.06596,Ngo2025Overcoming,Overcoming Dynamic Environments: A Hybrid Approach to Motion Planning for Manipulators,Ho Minh Quang Ngo et al.,2025,F_hybrid_astar,success,arxiv-e-print,,82015,580,19,403,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Ngo2025Overcoming.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Ngo2025Overcoming.md
2504.12616,Nawaz2025Graphbased,Graph-based Path Planning with Dynamic Obstacle Avoidance for Autonomous Parking,Farhad Nawaz et al.,2025,F_hybrid_astar,success,arxiv-e-print,,46954,307,16,352,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Nawaz2025Graphbased.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Nawaz2025Graphbased.md
2504.14680,Bhat2025Complete,A Complete and Bounded-Suboptimal Algorithm for a Moving Target Traveling Salesman Problem with Obstacles in 3D,Anoop Bhat et al.,2025,E_bounded_suboptimal_search;I_corridor_planning,success,arxiv-e-print,,41110,197,16,429,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Bhat2025Complete.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Bhat2025Complete.md
2504.16734,Kondo2025DYNUS,DYNUS: Uncertainty-aware Trajectory Planner in Dynamic Unknown Environments,Kota Kondo et al.,2025,O_dense_forest_narrow_passage,success,arxiv-e-print,,100179,738,51,373,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Kondo2025DYNUS.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Kondo2025DYNUS.md
2504.18713,Agrawal2025CertifiablyCorrect,Certifiably-Correct Mapping for Safe Navigation Despite Odometry Drift,Devansh R. Agrawal et al.,2025,I_corridor_planning,success,arxiv-e-print,,102387,806,35,487,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Agrawal2025CertifiablyCorrect.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Agrawal2025CertifiablyCorrect.md
2504.19072,Yang2025Geometric,Geometric Gait Optimization for Kinodynamic Systems Using a Lie Group Integrator,Yanhao Yang et al.,2025,P_nonholonomic_constraints,success,arxiv-e-print,,74859,677,22,127,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Yang2025Geometric.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Yang2025Geometric.md
2505.10542,Wilson2025AORRTC,AORRTC: Almost-Surely Asymptotically Optimal Planning with RRT-Connect,Tyler Wilson et al.,2025,D_asymptotically_optimal_sampling,success,pymupdf4llm,,44676,357,18,0,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Wilson2025AORRTC.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Wilson2025AORRTC.md
2505.15157,Sharma2025Cascaded,Cascaded Diffusion Models for Neural Motion Planning,Mohit Sharma et al.,2025,L_learning_path_optimization;N_path_repair,success,arxiv-e-print,,34852,166,11,80,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Sharma2025Cascaded.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Sharma2025Cascaded.md
