method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,timeout_failure_count,timeout_failure_rate,mean_nn_forward_time_s,p95_nn_forward_time_s,rl_attempts_total,rl_successes_total,rs_attempts_total,fallback_to_primitives_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
ha_single_rs,Complex,40,27,0.675,27,0.675,0.5061970949172974,2.500512087345123,0.14861249923706055,1.1294766902923583,737.5,6537.9,,,0.075,0.07471674501239656,0,13,0.325,,,0,0,15895,15868,0.0,0.0,0.0,0.0,
ha_single_rs,Extreme,40,29,0.725,29,0.725,0.5843369960784912,2.5004774808883665,0.14948225021362305,1.1290342509746552,870.0,6195.599999999997,,,0.05,0.0740610045356227,0,11,0.275,,,0,0,15040,15011,0.0,0.0,0.0,0.0,
