difficulty_bucket,query_id,expansion_idx,state_x,state_y,state_theta,goal_x,goal_y,goal_theta,nearest_obstacle_m,oracle_a_failure_reason,oracle_b_failure_reason,candidate_raw_count,candidate_rs_reachable_count,oracle_b_attempted_candidate_count,oracle_b_selected_candidate_source,oracle_b_total_path_length_m,oracle_b_min_clearance_m,oracle_b_direction_switches,source_head,oracle_a_path_length_m,oracle_a_min_clearance_m
Complex,complex_s00_q0002,3424,9.319902426284134,15.036415724810826,-1.6337238306818767,9.700000000000001,2.4000000000000004,-1.4722158131560936,0.699999988079071,,no_candidate_connected;goal_annulus:combined_collision:1;goal_annulus:combined_collision:1;voronoi_skeleton:combined_collision:1;goal_annulus:combined_collision:1;goal_annulus:combined_collision:1;corridor_offset:combined_collision:1;corridor_offset:combined_collision:1;goal_annulus:combined_collision:1,398,158,32,,,,,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5,13.498866933893389,0.056766695563481795
Extreme,extreme_s00_q0003,160,9.729390686183066,18.631589995858462,-1.311535031024892,13.5,2.1,-1.334551066076459,0.7211102843284607,,no_candidate_connected;goal_annulus:combined_collision:1;goal_annulus:combined_collision:1;goal_annulus:combined_collision:1;goal_annulus:combined_collision:1;goal_annulus:combined_collision:1;goal_annulus:combined_collision:1;voronoi_skeleton:combined_collision:1;goal_annulus:segment:timeout,345,67,32,,,,,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5,18.297055669467458,0.06412076311697112
