difficulty_bucket,query_id,expansion_idx,state_x,state_y,state_theta,goal_x,goal_y,goal_theta,nearest_obstacle_m,oracle_a_failure_reason,oracle_b_failure_reason,candidate_raw_count,candidate_rs_reachable_count,oracle_b_attempted_candidate_count,oracle_b_selected_candidate_source,oracle_b_total_path_length_m,oracle_b_min_clearance_m,oracle_b_direction_switches,source_head
Complex,complex_s00_q0003,4640,13.387658259595709,6.768346805746997,2.346454858082751,2.6,17.900000000000002,2.2309789106601006,1.6124515533447266,timeout,,396,67,4,goal_annulus,16.641390560371576,0.08810962921533894,2.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0003,224,10.649367664794951,18.41271136843238,-0.7345510660764587,13.5,2.1,-1.334551066076459,0.5,timeout,,389,64,2,goal_annulus,17.22280980889459,0.10548388626651073,0.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0003,1328,12.133257325187575,12.405462283415075,-0.7345510660764587,13.5,2.1,-1.334551066076459,1.029563069343567,timeout,,395,64,1,goal_annulus,12.084194790870033,0.10498172521600269,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0003,1688,12.20397348737806,12.437192799520103,-0.8730430485506755,13.5,2.1,-1.334551066076459,0.9848857522010803,timeout,,395,64,1,goal_annulus,12.00347837177235,0.07908284725588843,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0004,0,16.0,26.900000000000002,-2.951264113897886,5.1000000000000005,24.8,-2.951264113897886,0.800000011920929,timeout,,343,54,1,goal_annulus,12.361818613439125,0.06501046012447698,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0004,8,14.543800239114947,26.643782335186113,-3.112772131423669,5.1000000000000005,24.8,-2.951264113897886,1.0,timeout,,343,55,1,goal_annulus,10.959421949389847,0.08199024530728805,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0004,14,13.644173993367218,26.617847455933585,-3.112772131423669,5.1000000000000005,24.8,-2.951264113897886,1.0,timeout,,342,54,1,goal_annulus,10.151338288744496,0.07359039370081844,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0004,198,12.746103104550105,26.571208183413717,-2.974280148949452,5.1000000000000005,24.8,-2.951264113897886,1.2806248664855957,timeout,,343,55,1,goal_annulus,9.269322941649602,0.0819902453072876,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0004,217,13.045978519799348,26.57985314316456,-2.974280148949452,5.1000000000000005,24.8,-2.951264113897886,1.1180340051651,timeout,,343,55,1,goal_annulus,9.515347764187249,0.0819902453072876,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0004,833,14.03138065194765,26.25187851748079,-2.3512641138978863,5.1000000000000005,24.8,-2.951264113897886,0.761577308177948,timeout,,343,54,1,goal_annulus,10.370502600696977,0.07634770598219054,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,0,25.900000000000002,12.3,-3.0694290246301357,9.3,11.100000000000001,-3.0694290246301357,1.2369316816329956,timeout,,345,37,2,goal_annulus,17.914891660793213,0.08241262429070373,3.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,16,23.547525684058172,11.986405930351983,-3.0694290246301357,9.3,11.100000000000001,-3.0694290246301357,0.8062257766723633,timeout,,344,37,2,goal_annulus,16.115113323645364,0.07121807466415564,4.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,24,24.147506423498495,11.950086136147036,-2.769429024630136,9.3,11.100000000000001,-3.0694290246301357,0.699999988079071,timeout,,345,38,1,goal_annulus,16.08239783857872,0.08176838940628384,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
