method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
f_n3p_knn,Complex,5,5,1.0,5,1.0,0.01879045899841003,0.7769302422006148,0.004103208993910812,0.23409006699948803,0.0,1260.1999999999998,0.010946721375144852,0.14135419826573253,1.2,0.10115980761353105,0,1.0,1.0,0.4,0.0,0.42857142857142855
f_n3p_knn,Easy,5,5,1.0,5,1.0,0.0068055840019951575,0.1363302579964511,0.00545974999840837,0.05711645839910488,0.0,38.199999999999996,0.04795690303497557,0.1276285239633892,1.4,0.2075475135573509,0,0.8,0.8,0.4,0.0,0.2857142857142857
f_n3p_knn,Extreme,5,5,1.0,5,1.0,0.014458124998782296,0.2802749085996765,0.011517749997437932,0.09911335020005936,0.0,120.99999999999999,0.09248733149575394,0.27139017548463973,1.4,0.07785301907130526,0,0.6,0.6,0.4,0.0,0.5
n3p_k1,Complex,5,5,1.0,5,1.0,0.21776962500007357,1.5130654749984385,0.11582479200296802,0.589405583399639,241.0,2257.5999999999995,-0.0006962221586984674,0.0827141522843132,0.8,0.08783753682172046,0,1.0,0.0,1.0,0.0,1.0
n3p_k1,Easy,5,4,0.8,4,0.8,0.6747140840016073,2.8937315083981954,0.004279708999092691,0.9877726253995206,997.0,6729.399999999999,-5.43438660404183e-05,0.044584716517561296,0.6,0.09236285487321272,0,0.8,0.0,0.8,0.2,1.0
n3p_k1,Extreme,5,5,1.0,5,1.0,0.11915487499936717,2.6958951911961777,0.010944708999886643,1.0732712333992822,7.0,6497.2,0.0,0.27139017548463973,0.8,0.07785301907130526,0,0.6,0.0,0.6,0.4,1.0
vanilla_ha,Complex,5,5,1.0,5,1.0,0.5373051166534424,1.266834592819214,0.14245080947875977,0.7237418174743653,1481.0,2240.8,,,0.2,0.08509851526739176,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,5,4,0.8,4,0.8,0.3990590572357178,2.1407447814941403,0.11331510543823242,0.7675116539001465,713.0,4994.999999999999,,,0.0,0.1132564955119526,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,5,5,1.0,5,1.0,0.3048257827758789,1.8338766574859617,0.18204402923583984,0.8225299835205078,459.0,4479.4,,,0.2,0.07742817862363516,0,0.0,0.0,0.0,0.0,
