difficulty_bucket,method,count,success_rate_pct_mean,success_rate_pct_std,success_rate_pct_mean_std,planning_time_s_mean,planning_time_s_std,planning_time_s_mean_std,planning_time_s_median,planning_time_s_p95,path_length_m_mean,path_length_m_std,path_length_m_mean_std,path_inflation_pct_mean,path_inflation_pct_std,path_inflation_pct_mean_std,mean_abs_curvature_mean,mean_abs_curvature_std,mean_abs_curvature_mean_std,fallback_primary_pct,fallback_f1_pct,fallback_f2_pct,fallback_f3_pct
Easy,f_n3p_knn,2,100.0,0.0,100.0±0.0,0.16648006299874396,0.07246327197525504,0.166±0.072,0.16648006299874396,0.2125954068993451,12.701320417522776,0.8418243529627787,12.701±0.842,5.320642652042262,1.0503137605558075,5.32±1.05,0.12808603453274706,0.019203512696722474,0.1281±0.0192,0.0,100.0,0.0,0.0
Easy,vanilla_ha,2,100.0,0.0,100.0±0.0,0.11563551425933838,0.008085620005723954,0.116±0.008,0.11563551425933838,0.1207811713218689,12.056282549682189,0.6790649395245676,12.056±0.679,0.0,0.0,0.00±0.00,0.17738300509177296,0.02106267654631372,0.1774±0.0211,,,,
Complex,f_n3p_knn,2,100.0,0.0,100.0±0.0,0.24945602100160613,0.03035193915811487,0.249±0.030,0.24945602100160613,0.26877187680238424,12.80866430302915,4.441145762002158,12.809±4.441,2.190910741485613,3.9108852378073964,2.19±3.91,0.22161642585594982,0.09025436771774084,0.2216±0.0903,0.0,0.0,100.0,0.0
Complex,vanilla_ha,2,100.0,0.0,100.0±0.0,0.3234386444091797,0.12170661150793848,0.323±0.122,0.3234386444091797,0.4008922576904297,12.460018762086182,3.8690806246064557,12.460±3.869,0.0,0.0,0.00±0.00,0.1904657765726567,0.030793861613348038,0.1905±0.0308,,,,
Extreme,f_n3p_knn,2,100.0,0.0,100.0±0.0,0.10913593700024649,0.15362881801074924,0.109±0.154,0.10913593700024649,0.2069047181012138,13.390509320245826,2.97551359190876,13.391±2.976,12.515909797476231,17.700169381029152,12.52±17.70,0.2160352740261445,0.3055200144787616,0.2160±0.3055,50.0,50.0,0.0,0.0
Extreme,vanilla_ha,2,100.0,0.0,100.0±0.0,0.11113488674163818,0.005112412724371446,0.111±0.005,0.11113488674163818,0.11438840627670288,12.260710042222726,4.573291053648356,12.261±4.573,0.0,0.0,0.00±0.00,0.10197030754716009,0.14420779189254937,0.1020±0.1442,,,,
